id,nama
1,Aceh
2,Sumatera Utara
3,Sumatera Barat
4,Riau
5,Kep. Riau
6,Kep. Bangka Belitung
7,Jambi
8,Bengkulu
9,Sumatera Selatan
10,Lampung
11,Banten
12,DKI Jakarta
13,Jawa Barat
14,Jawa Tengah
15,Yogyakarta  
16,Jawa Timur
17,Bali
18,Nusa Tenggara Barat
19,Nusa Tenggara Timur
20,Kalimantan Barat
21,Kalimantan Tengah
22,Kalimantan Selatan
23,Kalimantan Timur
24,Kalimantan Utara
25,Gorontalo
26,Sulawesi Selatan
27,Sulawesi Tenggara
28,Sulawesi Tengah
29,Sulawesi Utara
30,Sulawesi Barat
31,Maluku
32,Maluku Utara
33,Papua Barat
34,Papua
